,Shannon,Sobs,input,filtered,percentage of input passed filter,denoised,merged,percentage of input merged,non-chimeric,percentage of input non-chimeric,Date,Year,SampleType,Dosing,Time,InfluentFlowgalpermin,WindSpeedmps,WindDirection,H2OUse,PercentCloudCover,SamPortNum,PSampleID,ImidAbsorbance,ImidConcentration,PyreAbsorbance,PyreConcentration,FilterVolmL,ConductivitymgL,TempC,Turbidityppm,Phosppm,Nitratesppm,DisO2ppm,Salinity,pH,avgImidppm,avgPyreppm,ImidConcentrationppm,PyreConcentrationppm,TurbidityppmSONDE,NitratesppmSONDE,DisO2ppmSONDE,SalinitySONDE,pHSONDE
B0001_S1,5.214604889,301,16068,14714,91.57,14018,12455,77.51,11781,73.32,7/8/19,2019,Water,pre,8:15:00,,,,0,100,1,P_0001,0.406,0.255711,0.2495,16.23016,75,1460,14,84,2.47,31.8,8.9,2,,0.255711,16.23016,,,,,,,
B0002_S2,4.574384116,182,4596,4054,88.21,3807,3392,73.8,3256,70.84,7/8/19,2019,Water,pre,8:25:00,,,,0,100,2,,,,,,45,1525,14.5,101,2.13,44.6,12,2,,,,,,,,,,
B0003_S3,5.147470867,293,20800,19875,95.55,18796,13760,66.15,11392,54.77,7/8/19,2019,Water,pre,8:46:00,,,,0,100,3,,,,,,50,1281,15.2,68,1.68,30.6,13.3,2,,,,,,,,,,
B0004_S4,5.016816992,254,14339,13409,93.51,12580,8816,61.48,7725,53.87,7/8/19,2019,Water,pre,8:57:00,,,,0,100,4,P_0004,0.491,0.082257,0.406,3.74206,180,2660,14.7,35,1.4,23.8,5.5,2,,0.082257,3.74206,,,,,,,
B0005_S5,5.298518676,317,17097,16305,95.37,15244,11064,64.71,9499,55.56,7/8/19,2019,Water,pre,11:25:00,,3,,north,100,1,P_0005,0.4745,0.113942,0.491,1.353091,70,1540,16.5,82,1.69,28.4,5.9,2,,0.042921,1.5245275,,,,,,,
B0006_S6,5.063049526,278,15068,14011,92.99,13243,10196,67.67,9167,60.84,7/8/19,2019,Water,pre,11:25:00,,3,,north,100,2,,,,,,12,1584,18,280,1.75,46.2,6.7,2,,0.042921,1.5245275,,,,,,,
B0007_S7,5.182439746,310,20591,19546,94.92,18393,13373,64.95,11317,54.96,7/8/19,2019,Water,pre,11:25:00,,3,,north,100,3,,,,,,38,1390,19,138,2.58,34.4,7.1,2,,0.042921,1.5245275,,,,,,,
B0008_S8,4.98354472,278,15894,14875,93.59,14007,10250,64.49,8730,54.93,7/8/19,2019,Water,pre,11:25:00,,3,,north,100,4,P_0008,0.5525,-0.0281,0.4745,1.695964,67,1327,18,54,1.49,33.4,5.9,2,,0.042921,1.5245275,,,,,,,
B0009_S9,5.113365402,290,21271,19230,90.4,18142,12614,59.3,10527,49.49,7/8/19,2019,Water,pre,14:40:00,,4.5,,0,40,1,P_0009,0.447,0.168825,0.5525,0.417255,150,1594,18,,,,9.8,1,,0.1408965,1.3996265,,,,,,,
B0010_S10,4.677684429,231,14724,12930,87.82,12266,9251,62.83,7821,53.12,7/8/19,2019,Water,pre,14:40:00,,4.5,,0,40,2,,,,,,,1690,18,,,,7.6,2,,0.1408965,1.3996265,,,,,,,
B0011_S11,5.207144322,314,23546,22361,94.97,20901,14391,61.12,12016,51.03,7/8/19,2019,Water,pre,14:40:00,,4.5,,0,40,3,,,,,,,1581,19,,,,6.6,2,,0.1408965,1.3996265,,,,,,,
B0012_S12,5.014870582,236,12665,11907,94.02,11064,7090,55.98,6189,48.87,7/8/19,2019,Water,pre,14:40:00,,4.5,,0,40,4,P_0012,0.475,0.112968,0.447,2.381998,,1453,19,,,,6.3,2,,0.1408965,1.3996265,,,,,,,
B0013_S13,5.263507058,307,19678,18707,95.07,17484,12154,61.76,10132,51.49,7/8/19,2019,Water,pre,17:40:00,,5.5,,0,20,1,P_0013,0.447,0.168825,0.475,1.684874,75,1753,19,,,,5.9,2,,0.12083,2.033436,,,,,,,
B0014_S14,4.705914227,231,16884,15679,92.86,14797,11072,65.58,9059,53.65,7/8/19,2019,Water,pre,17:40:00,,5.5,,0,20,2,,,,,,20,1652,19,,,,8.5,2,,0.12083,2.033436,,,,,,,
B0015_S15,4.697846411,254,23267,22084,94.92,21069,15811,67.95,12587,54.1,7/8/19,2019,Water,pre,17:40:00,,5.5,,0,20,3,,,,,,65,1674,19,,,,9.7,2,,0.12083,2.033436,,,,,,,
B0016_S16,5.154592013,301,21335,20140,94.4,18997,13080,61.31,11402,53.44,7/8/19,2019,Water,pre,17:40:00,,5.5,,0,20,4,P_0016,0.496,0.072835,0.447,2.381998,50,1686,19,,,,5.1,2,,0.12083,2.033436,,,,,,,
B0017_S17,4.588124879,224,15493,14239,91.91,13651,11048,71.31,9062,58.49,7/9/19,2019,Water,pre,8:00:00,,2,,yes,0,1,P_0017,0.3935,0.283464,0.496,1.258068,185,1630,17,39,1.07,14.6,5.2,1.5,,0.2385385,2.7574325,,,,,,,
B0018_S18,5.003844417,237,8609,7815,90.78,7278,6598,76.64,6365,73.93,7/9/19,2019,Water,pre,8:00:00,,2,,yes,0,2,,,,,,35,1574,17,,,,9.2,2,,0.2385385,2.7574325,,,,,,,
B0019_S19,5.061826673,279,18268,17173,94.01,16099,11335,62.05,9422,51.58,7/9/19,2019,Water,pre,8:00:00,,2,,yes,0,3,,,,,,30,1596,18,,,,10,1.5,,0.2385385,2.7574325,,,,,,,
B0020_S20,4.88066444,254,11494,10878,94.64,10127,6977,60.7,5938,51.66,7/9/19,2019,Water,pre,8:00:00,,2,,yes,0,4,P_0018,0.435,0.193613,0.3935,4.256797,90,1567,17,142,0.95,11.2,4,2,,0.2385385,2.7574325,,,,,,,
B0021_S21,4.793689129,244,19665,18537,94.26,17653,13974,71.06,10749,54.66,7/9/19,2019,Water,pre,11:00:00,,2,,0,5,1,P_0019,0.4745,0.113942,0.435,2.733682,162,1465,23.3,48,1.09,7,7.2,1.5,,0.133768,2.214823,,,,,,,
B0022_S22,5.013898723,282,17355,16436,94.7,15432,10805,62.26,8829,50.87,7/9/19,2019,Water,pre,11:00:00,,2,,0,5,2,,,,,,20,1448,22.8,,,,7.5,1,,0.133768,2.214823,,,,,,,
B0023_S23,5.135348905,293,17232,16220,94.13,15076,10066,58.41,8512,49.4,7/9/19,2019,Water,pre,11:00:00,,2,,0,5,3,,,,,,18,1528,22.5,,,,10.4,2,,0.133768,2.214823,,,,,,,
B0024_S24,5.091435253,302,18867,17861,94.67,16813,12135,64.32,10335,54.78,7/9/19,2019,Water,pre,11:00:00,,2,,0,5,4,P_0020,0.4545,0.153594,0.4745,1.695964,22,1630,21.4,60,0.95,8.9,5.2,2,,0.133768,2.214823,,,,,,,
B0025_S25,5.030727032,269,15410,13579,88.12,12723,8603,55.83,7316,47.48,7/9/19,2019,Water,pre,14:00:00,,2.5,,0,10,1,P_0021,0.4185,0.228558,0.4545,2.179222,132,1672,19.9,42,1.3,10.9,6,0.5,,0.1530465,2.7284735,,,,,,,
B0026_S26,4.649954163,191,10944,8974,82,8340,5922,54.11,5089,46.5,7/9/19,2019,Water,pre,14:00:00,,2.5,,0,10,2,,,,,,25,1599,19.8,60,1.19,8.3,5.3,1,,0.1530465,2.7284735,,,,,,,
B0027_S27,4.88423748,227,8316,7718,92.81,7259,6497,78.13,6224,74.84,7/9/19,2019,Water,pre,14:00:00,,2.5,,0,10,3,,,,,,30,1603,20.2,99,1.02,10.2,9,1,,0.1530465,2.7284735,,,,,,,
B0028_S28,4.811541351,241,14558,13472,92.54,12718,8690,59.69,7388,50.75,7/9/19,2019,Water,pre,14:00:00,,2.5,,0,10,4,P_0022,0.4935,0.077535,0.4185,3.277725,127,1615,18.9,38,0.93,10.8,4,2,,0.1530465,2.7284735,,,,,,,
B0029_S29,5.03168628,254,12472,11656,93.46,10959,7893,63.29,6915,55.44,7/9/19,2019,Water,pre,17:00:00,,2.9,,yes,100,1,P_0023,0.4295,0.20515,0.4935,1.30509,130,1504,22.5,47,0.91,13.1,4.1,2.5,,0.189035,2.105981,,,,,,,
B0030_S30,4.899701809,255,13776,12727,92.39,12069,9009,65.4,8071,58.59,7/9/19,2019,Water,pre,17:00:00,,2.9,,yes,100,2,,,,,,55,1513,22,110,1.08,6.3,7.2,2.5,,0.189035,2.105981,,,,,,,
B0031_S31,5.09629636,287,15681,14607,93.15,13841,10466,66.74,9225,58.83,7/9/19,2019,Water,pre,17:00:00,,2.9,,yes,100,3,,,,,,34,1505,22.1,100,1.12,13.6,6.8,2,,0.189035,2.105981,,,,,,,
B0032_S32,4.872458632,256,13269,12257,92.37,11975,11320,85.31,10911,82.23,7/9/19,2019,Water,pre,17:00:00,,2.9,,yes,100,4,P_0024,0.445,0.17292,0.4295,2.906872,155,1594,21.5,90,1.23,9.2,3.1,1.5,,0.189035,2.105981,,,,,,,
B0033_S33,5.305171458,301,13334,12125,90.93,11203,8544,64.08,7851,58.88,7/10/19,2019,Water,pre,8:00:00,,1,W,0,100,1,P_0025,0.5035,0.058855,0.445,2.438223,350,1584,16.7,12,1.37,35,3.9,1,,0.0501315,1.7804515,,,,,,,
B0034_S34,4.620347647,214,11685,10730,91.83,10263,8810,75.4,8185,70.05,7/10/19,2019,Water,pre,8:00:00,,1,W,0,100,2,,,,,,110,1664,17.2,42,1.11,34.2,4.3,1.5,,0.0501315,1.7804515,,,,,,,
B0035_S35,4.742643836,225,6359,5853,92.04,5575,5008,78.75,4786,75.26,7/10/19,2019,Water,pre,8:00:00,,1,W,0,100,3,,,,,,200,1613,16.6,,1.01,24.8,4.7,1.5,,0.0501315,1.7804515,,,,,,,
B0036_S36,5.193959132,290,16627,15765,94.82,14788,10226,61.5,9120,54.85,7/10/19,2019,Water,pre,8:00:00,,1,W,0,100,4,P_0026,0.513,0.041408,0.5035,1.12268,165,1583,14.6,20,1.26,25.4,4.5,1.5,,0.0501315,1.7804515,,,,,,,
B0037_S37,5.280688773,302,11851,11243,94.87,10286,8204,69.23,7670,64.72,7/10/19,2019,Water,pre,11:00:00,,2,W,0,5,1,P_0027,0.5885,-0.08741,0.513,0.962779,300,1629,17.5,0,1.39,41.2,6.2,1,,-0.039137,0.5080445,,,,,,,
B0038_S38,5.122215876,292,18005,17114,95.05,15942,10890,60.48,9406,52.24,7/10/19,2019,Water,pre,11:00:00,,2,W,0,5,2,,,,,,210,1675,17.5,38,1.32,34.4,6.1,0,,-0.039137,0.5080445,,,,,,,
B0039_S39,5.162819304,302,20216,19061,94.29,17789,12379,61.23,10483,51.85,7/10/19,2019,Water,pre,11:00:00,,2,W,0,5,3,,,,,,170,1567,17.7,16,1.17,35.2,5.5,0.5,,-0.039137,0.5080445,,,,,,,
B0040_S40,5.063416216,293,15795,14056,88.99,13112,9813,62.13,8697,55.06,7/10/19,2019,Water,pre,11:00:00,,2,W,0,5,4,P_0028,0.531,0.009136,0.5885,0.05331,300,1823,16.7,5,0.99,33.4,5.3,0,,-0.039137,0.5080445,,,,,,,
B0042_S42,5.179933333,292,18135,17149,94.56,15992,10873,59.96,9308,51.33,7/10/19,2019,Water,pre,14:00:00,,3,WNW,0,0,2,,,,,,160,1543,19.8,36,1.29,32.4,4.7,1,,0.007079,0.557603,,,,,,,
B0043_S43,5.114711961,259,9403,8873,94.36,8363,7302,77.66,7014,74.59,7/10/19,2019,Water,pre,14:00:00,,3,WNW,0,0,3,,,,,,140,1457,19,12,0.96,31.4,4.5,0,,0.007079,0.557603,,,,,,,
B0044_S44,5.038951456,222,5127,4828,94.17,4634,4315,84.16,4176,81.45,7/10/19,2019,Water,pre,14:00:00,,3,WNW,0,0,4,P_0030,0.513,0.041408,0.552,0.423109,360,1570,16.7,10,1.11,40.2,5.7,0,,0.007079,0.557603,,,,,,,
B0045_S45,5.300502448,304,14363,13626,94.87,12475,9198,64.04,8268,57.56,7/10/19,2019,Water,pre,17:00:00,,4.2,W,0,0,1,P_0031,0.5735,-0.06315,0.513,0.962779,360,1814,20.4,0,0.45,48.4,8.7,2,,-0.0026105,0.5773685,,,,,,,
B0046_S46,5.13559088,284,11232,10581,94.2,10106,9369,83.41,9050,80.57,7/10/19,2019,Water,pre,17:00:00,,4.2,W,0,0,2,,,,,,125,1691,21.8,74,1.1,42.6,5.3,1,,-0.0026105,0.5773685,,,,,,,
B0047_S47,5.139386667,262,13848,13197,95.3,12391,8121,58.64,7038,50.82,7/10/19,2019,Water,pre,17:00:00,,4.2,W,0,0,3,,,,,,180,1583,23.7,17,1.15,31.4,5.5,1,,-0.0026105,0.5773685,,,,,,,
B0048_S48,4.954488146,255,18400,16411,89.19,15467,11418,62.05,9809,53.31,7/10/19,2019,Water,pre,17:00:00,,4.2,W,0,0,4,P_0032,0.504,0.057929,0.5735,0.191958,300,1552,19.1,9,1.13,37.2,6.2,0,,-0.0026105,0.5773685,,,,,,,
B0049_S49,4.777879148,187,8432,7506,89.02,6823,4627,54.87,4084,48.43,7/11/19,2019,Water,pre,8:00:00,,2.6,W,0,10,1,P_0033,0.569,-0.05575,0.504,1.113948,300,1882,17.5,6,1.17,35.8,11.8,1,,-0.0255085,0.675478,,,,,,,
