,Shannon,Sobs,input,filtered,percentage of input passed filter,denoised,merged,percentage of input merged,non-chimeric,percentage of input non-chimeric,Experiment,Date,Port,Pesticide.Sample,Neonictinoids,Organophosphates,Pyrethroids,Sample.time,AM.PM,Number,Vol.filtered.mL,Temp,Conductivity,Turbidity.NTU,Nitrates.mgL,DO,DO.mg.L,pH,Salinity,Total.vol.gal,Wind.direction,Wind.ms,H2O.use,cloud.cover,Ambient.temperature,SampleType,Dosing
BR1B1001,4.655659550589295,151.0,26114,6407,24.53,5158,2516,9.63,2185,8.37,Sampling,20-Aug,1.0,BR1_1_001,20.5,0.0,0.0,10:38 AM,AM,1.0,180.0,16.93,3.295,-299.0,16.04,16.8,1.6,7.07,1.74,386309.0,W,,Y,0.0,21.1,Water,Pre
BR1B1002,4.514909350703809,144.0,21235,5112,24.07,4143,2866,13.5,2238,10.54,Sampling,20-Aug,4.0,BR1_4_001,76.6,0.0,0.0,10:38 AM,AM,2.0,360.0,17.154,3.288,-289.0,23.4,6.9,0.66,7.12,1.73,386309.0,W,,Y,0.0,21.1,Water,Pre
BR1B1004,4.72166691946507,169.0,28303,6863,24.25,5650,3470,12.26,2604,9.2,Sampling,20-Aug,4.0,,,,,2:08 PM,PM,4.0,420.0,17.297,3.216,-205.0,318.52,2.9,6.27,7.15,7.69,,,,,,,Water,Pre
BR1B1006,4.657928453894261,163.0,28287,6126,21.66,5038,3124,11.04,2450,8.66,Sampling,21-Aug,4.0,BR1_4_002,27.6,0.0,0.0,9:28 AM,AM,6.0,600.0,17.16,3.255,-228.85,1591.83,6.2,0.6,7.15,1.71,389795.0,E,2.0,Y,0.0,18.0,Water,Pre
BR1B1007,4.628853686739962,169.0,29659,6849,23.09,5697,3592,12.11,2595,8.75,Sampling,21-Aug,1.0,,,,,1:21 PM,PM,7.0,600.0,16.992,3.175,-313.3,5073.03,13.5,1.3,7.14,1.67,,,,,,,Water,Pre
BR1B1008,4.8043966777851494,195.0,29781,7723,25.93,6177,3577,12.01,2961,9.94,Sampling,21-Aug,4.0,,,,,1:21 PM,PM,8.0,600.0,17.309,3.215,-269.0,2600.0,1.8,0.16,7.14,1.69,,,,,,,Water,Pre
BR1B1014,4.389900016816211,114.0,19058,4904,25.73,3717,2171,11.39,1992,10.45,Sampling,27-Aug,4.0,BR1_4_004,24.4,0.0,0.0,9:50 AM,AM,14.0,660.0,16.9,3.116,8.2,0.0,1.3,0.13,7.13,1.64,411177.0,SE,0.0,Y,40.0,18.0,Water,Pre
BR1B1025,4.0607208595241735,89.0,10899,2634,24.17,1949,1180,10.83,1067,9.79,Sampling,9/23/24,1.0,BR1_1_007,32.0,81.525,133.924,9:56 AM,AM,25.0,600.0,17.354,3.273,-0.78,,11.5,1.07,7.1,1.72,453647.0,W,2.0,N,33.0,18.0,Water,Post
BR1B1026,4.613252564495223,131.0,19101,4409,23.08,3187,1604,8.4,1517,7.94,Sampling,9/23/24,4.0,BR1_4_007,3710.9,55.97,217.546,9:56 AM,AM,26.0,1080.0,18.2,3.061,298.64,178.0,21.0,1.95,7.59,1.6,453647.0,W,2.0,N,33.0,18.0,Water,Post
BR1B1027,4.274001622951824,136.0,21237,4802,22.61,3497,2384,11.23,2200,10.36,Sampling,9/23/24,1.0,,,,,2:04 PM,PM,27.0,1500.0,17.457,3.23,0.0,,6.8,0.65,7.16,1.6,457050.0,W,3.0,N,36.0,22.0,Water,Post
BR1B1029,4.267582872771462,107.0,14303,3307,23.12,2613,1743,12.19,1592,11.13,Sampling,9/24/24,1.0,BR1_1_008,36.0,70.0,186.937,9:37 AM,AM,29.0,720.0,17.066,3.205,-0.37,0.46,12.5,1.19,7.17,1.69,457346.0,W,2.0,Y,41.0,20.0,Water,Post
BR1B1031,4.267684336809051,96.0,14632,3272,22.36,2470,1437,9.82,1277,8.73,Sampling,9/24/24,1.0,,,,,2:15 PM,PM,31.0,600.0,17.533,3.205,-2.49,,14.3,1.36,7.19,1.68,457635.0,W,4.0,N,40.0,20.0,Water,Post
BR1B1033,3.4537086566599524,68.0,19514,2329,11.94,1839,1150,5.89,1042,5.34,Sampling,9/30/24,1.0,BR1_1_009,143.5999994,,0.0,9:44 AM,AM,33.0,360.0,17.3,3.311,4.6,0.0,13.0,1.24,7.12,1.72,460424.0,NW,2.0,N,11.0,20.0,Water,Post
BR1B1034,4.019068029423852,115.0,14873,4184,28.13,3193,2245,15.09,2087,14.03,Sampling,9/30/24,4.0,BR1_4_009,2378.099998,,31.52100038,9:44 AM,AM,34.0,720.0,17.4,3.305,4.66,0.0,12.4,1.15,7.44,1.72,460424.0,NW,2.0,N,11.0,20.0,Water,Post
BR1B1035,3.4904043426882136,63.0,10197,2283,22.39,1796,1289,12.64,1231,12.07,Sampling,10/1/24,1.0,,,,,2:21 PM,PM,35.0,900.0,17.4,3.248,-0.21,83.17,9.1,0.87,7.17,1.69,463624.0,W,3.0,Y,0.0,26.0,Water,Post
BR1B1037,4.19033934284808,107.0,13838,3178,22.97,2327,1570,11.35,1419,10.25,Sampling,10/1/24,1.0,BR1_1_010,164.8999996,,0.0,9:47 AM,AM,37.0,,17.4,3.233,-0.32,103.4,13.8,1.29,7.13,1.68,464912.0,NW,1.0,N,0.0,26.0,Water,Post
BR1B1040,4.552868706695808,136.0,20093,4094,20.38,2934,1749,8.7,1645,8.19,Sampling,10/1/24,4.0,,,,,2:15 PM,PM,40.0,180.0,18.0,3.264,5.0,96.99,12.5,0.94,7.28,1.69,464912.0,W,4.0,N,5.0,27.0,Water,Post
BR1B1041,3.9615987261572343,134.0,32015,6698,20.92,4950,3093,9.66,2714,8.48,Sampling,10/7/24,1.0,BR1_1_011,16.5,0.0,0.0,10:00 AM,AM,41.0,1.08,17.4,2.832,17.27,88.19,13.2,1.25,7.13,1.74,465164.0,W,1.0,N,29.0,26.0,Water,Post
BR1B1042,4.3961350942604085,159.0,22915,5474,23.89,4324,2922,12.75,2693,11.75,Sampling,10/7/24,4.0,BR1_4_011,3052.7,0.0,0.0,10:00 AM,AM,42.0,540.0,17.6,2.789,5.0,55.0,8.5,0.79,7.31,1.7,465164.0,W,1.0,N,29.0,26.0,Water,Post
BR1B1043,4.148984769147289,129.0,29612,5916,19.98,4264,2608,8.81,2338,7.9,Sampling,10/7/24,1.0,,,,,2:21 PM,PM,43.0,460.0,17.7,2.807,0.4,82.5,16.1,1.5,7.21,1.72,465168.0,W,4.0,N,16.0,26.0,Water,Post
BR1B1044,4.168941500043342,122.0,25581,4458,17.43,3388,2089,8.17,1926,7.53,Sampling,10/7/24,4.0,,,,,2:21 PM,PM,44.0,480.0,17.7,2.731,2.24,50.0,8.0,0.73,7.34,1.66,465168.0,W,4.0,N,16.0,26.0,Water,Post
