sample-id	input	filtered	percentage of input passed filter	denoised	merged	percentage of input merged	non-chimeric	percentage of input non-chimeric	Date	Year	SampleType	Dosing	Time	Timeperiod	AM.PM	InfluentFlowgalpermin	WindSpeedmps	WindDirection	H2OUse	PercentCloudCover	Port	PSampleID	ImidAbsorbance	ImidConcentration	PyreAbsorbance	PyreConcentration	FilterVolmL	ConductivitymgL	TempC	Turbidityppm	Phosppm	Nitratesppm	DisO2ppm	Salinity	pH	avgImidppm	avgPyreppm	ImidConcentrationppm	PyreConcentrationppm	TurbidityppmSONDE	NitratesppmSONDE	DisO2ppmSONDE	SalinitySONDE	pHSONDE
B0001_S1	16068	14714	91.57	14018	12455	77.51	11781	73.32	7/8/19	2019	Water	Pre	8:15:00	8:00:00	AM	NA	NA	NA	0	100	1	P_0001	0.406	0.255711	0.2495	16.23016	75	1460	14	84	2.47	31.8	8.9	2	NA	0.255711	16.23016	NA	NA	NA	NA	NA	NA	NA
B0002_S2	4596	4054	88.21	3807	3392	73.8	3256	70.84	7/8/19	2019	Water	Pre	8:25:00	8:00:00	AM	NA	NA	NA	0	100	2	NA	NA	NA	NA	NA	45	1525	14.5	101	2.13	44.6	12	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
B0003_S3	20800	19875	95.55	18796	13760	66.15	11392	54.77	7/8/19	2019	Water	Pre	8:46:00	8:00:00	AM	NA	NA	NA	0	100	3	NA	NA	NA	NA	NA	50	1281	15.2	68	1.68	30.6	13.3	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
B0004_S4	14339	13409	93.51	12580	8816	61.48	7725	53.87	7/8/19	2019	Water	Pre	8:57:00	8:00:00	AM	NA	NA	NA	0	100	4	P_0004	0.491	0.082257	0.406	3.74206	180	2660	14.7	35	1.4	23.8	5.5	2	NA	0.082257	3.74206	NA	NA	NA	NA	NA	NA	NA
B0005_S5	17097	16305	95.37	15244	11064	64.71	9499	55.56	7/8/19	2019	Water	Pre	11:25:00	11:00:00	AM	NA	3	NA	north	100	1	P_0005	0.4745	0.113942	0.491	1.353091	70	1540	16.5	82	1.69	28.4	5.9	2	NA	0.042921	1.5245275	NA	NA	NA	NA	NA	NA	NA
B0006_S6	15068	14011	92.99	13243	10196	67.67	9167	60.84	7/8/19	2019	Water	Pre	11:25:00	11:00:00	AM	NA	3	NA	north	100	2	NA	NA	NA	NA	NA	12	1584	18	280	1.75	46.2	6.7	2	NA	0.042921	1.5245275	NA	NA	NA	NA	NA	NA	NA
B0007_S7	20591	19546	94.92	18393	13373	64.95	11317	54.96	7/8/19	2019	Water	Pre	11:25:00	11:00:00	AM	NA	3	NA	north	100	3	NA	NA	NA	NA	NA	38	1390	19	138	2.58	34.4	7.1	2	NA	0.042921	1.5245275	NA	NA	NA	NA	NA	NA	NA
B0008_S8	15894	14875	93.59	14007	10250	64.49	8730	54.93	7/8/19	2019	Water	Pre	11:25:00	11:00:00	AM	NA	3	NA	north	100	4	P_0008	0.5525	-0.0281	0.4745	1.695964	67	1327	18	54	1.49	33.4	5.9	2	NA	0.042921	1.5245275	NA	NA	NA	NA	NA	NA	NA
B0009_S9	21271	19230	90.4	18142	12614	59.3	10527	49.49	7/8/19	2019	Water	Pre	14:40:00	14:00:00	PM	NA	4.5	NA	0	40	1	P_0009	0.447	0.168825	0.5525	0.417255	150	1594	18	NA	NA	NA	9.8	1	NA	0.1408965	1.3996265	NA	NA	NA	NA	NA	NA	NA
B0010_S10	14724	12930	87.82	12266	9251	62.83	7821	53.12	7/8/19	2019	Water	Pre	14:40:00	14:00:00	PM	NA	4.5	NA	0	40	2	NA	NA	NA	NA	NA	NA	1690	18	NA	NA	NA	7.6	2	NA	0.1408965	1.3996265	NA	NA	NA	NA	NA	NA	NA
B0011_S11	23546	22361	94.97	20901	14391	61.12	12016	51.03	7/8/19	2019	Water	Pre	14:40:00	14:00:00	PM	NA	4.5	NA	0	40	3	NA	NA	NA	NA	NA	NA	1581	19	NA	NA	NA	6.6	2	NA	0.1408965	1.3996265	NA	NA	NA	NA	NA	NA	NA
B0012_S12	12665	11907	94.02	11064	7090	55.98	6189	48.87	7/8/19	2019	Water	Pre	14:40:00	14:00:00	PM	NA	4.5	NA	0	40	4	P_0012	0.475	0.112968	0.447	2.381998	NA	1453	19	NA	NA	NA	6.3	2	NA	0.1408965	1.3996265	NA	NA	NA	NA	NA	NA	NA
B0013_S13	19678	18707	95.07	17484	12154	61.76	10132	51.49	7/8/19	2019	Water	Pre	17:40:00	17:00:00	PM	NA	5.5	NA	0	20	1	P_0013	0.447	0.168825	0.475	1.684874	75	1753	19	NA	NA	NA	5.9	2	NA	0.12083	2.033436	NA	NA	NA	NA	NA	NA	NA
B0014_S14	16884	15679	92.86	14797	11072	65.58	9059	53.65	7/8/19	2019	Water	Pre	17:40:00	17:00:00	PM	NA	5.5	NA	0	20	2	NA	NA	NA	NA	NA	20	1652	19	NA	NA	NA	8.5	2	NA	0.12083	2.033436	NA	NA	NA	NA	NA	NA	NA
B0015_S15	23267	22084	94.92	21069	15811	67.95	12587	54.1	7/8/19	2019	Water	Pre	17:40:00	17:00:00	PM	NA	5.5	NA	0	20	3	NA	NA	NA	NA	NA	65	1674	19	NA	NA	NA	9.7	2	NA	0.12083	2.033436	NA	NA	NA	NA	NA	NA	NA
B0016_S16	21335	20140	94.4	18997	13080	61.31	11402	53.44	7/8/19	2019	Water	Pre	17:40:00	17:00:00	PM	NA	5.5	NA	0	20	4	P_0016	0.496	0.072835	0.447	2.381998	50	1686	19	NA	NA	NA	5.1	2	NA	0.12083	2.033436	NA	NA	NA	NA	NA	NA	NA
B0017_S17	15493	14239	91.91	13651	11048	71.31	9062	58.49	7/9/19	2019	Water	Pre	8:00:00	8:00:00	AM	NA	2	NA	yes	0	1	P_0017	0.3935	0.283464	0.496	1.258068	185	1630	17	39	1.07	14.6	5.2	1.5	NA	0.2385385	2.7574325	NA	NA	NA	NA	NA	NA	NA
B0018_S18	8609	7815	90.78	7278	6598	76.64	6365	73.93	7/9/19	2019	Water	Pre	8:00:00	8:00:00	AM	NA	2	NA	yes	0	2	NA	NA	NA	NA	NA	35	1574	17	NA	NA	NA	9.2	2	NA	0.2385385	2.7574325	NA	NA	NA	NA	NA	NA	NA
B0019_S19	18268	17173	94.01	16099	11335	62.05	9422	51.58	7/9/19	2019	Water	Pre	8:00:00	8:00:00	AM	NA	2	NA	yes	0	3	NA	NA	NA	NA	NA	30	1596	18	NA	NA	NA	10	1.5	NA	0.2385385	2.7574325	NA	NA	NA	NA	NA	NA	NA
B0020_S20	11494	10878	94.64	10127	6977	60.7	5938	51.66	7/9/19	2019	Water	Pre	8:00:00	8:00:00	AM	NA	2	NA	yes	0	4	P_0018	0.435	0.193613	0.3935	4.256797	90	1567	17	142	0.95	11.2	4	2	NA	0.2385385	2.7574325	NA	NA	NA	NA	NA	NA	NA
B0021_S21	19665	18537	94.26	17653	13974	71.06	10749	54.66	7/9/19	2019	Water	Pre	11:00:00	11:00:00	AM	NA	2	NA	0	5	1	P_0019	0.4745	0.113942	0.435	2.733682	162	1465	23.3	48	1.09	7	7.2	1.5	NA	0.133768	2.214823	NA	NA	NA	NA	NA	NA	NA
B0022_S22	17355	16436	94.7	15432	10805	62.26	8829	50.87	7/9/19	2019	Water	Pre	11:00:00	11:00:00	AM	NA	2	NA	0	5	2	NA	NA	NA	NA	NA	20	1448	22.8	NA	NA	NA	7.5	1	NA	0.133768	2.214823	NA	NA	NA	NA	NA	NA	NA
B0023_S23	17232	16220	94.13	15076	10066	58.41	8512	49.4	7/9/19	2019	Water	Pre	11:00:00	11:00:00	AM	NA	2	NA	0	5	3	NA	NA	NA	NA	NA	18	1528	22.5	NA	NA	NA	10.4	2	NA	0.133768	2.214823	NA	NA	NA	NA	NA	NA	NA
B0024_S24	18867	17861	94.67	16813	12135	64.32	10335	54.78	7/9/19	2019	Water	Pre	11:00:00	11:00:00	AM	NA	2	NA	0	5	4	P_0020	0.4545	0.153594	0.4745	1.695964	22	1630	21.4	60	0.95	8.9	5.2	2	NA	0.133768	2.214823	NA	NA	NA	NA	NA	NA	NA
B0025_S25	15410	13579	88.12	12723	8603	55.83	7316	47.48	7/9/19	2019	Water	Pre	14:00:00	14:00:00	PM	NA	2.5	NA	0	10	1	P_0021	0.4185	0.228558	0.4545	2.179222	132	1672	19.9	42	1.3	10.9	6	0.5	NA	0.1530465	2.7284735	NA	NA	NA	NA	NA	NA	NA
B0026_S26	10944	8974	82	8340	5922	54.11	5089	46.5	7/9/19	2019	Water	Pre	14:00:00	14:00:00	PM	NA	2.5	NA	0	10	2	NA	NA	NA	NA	NA	25	1599	19.8	60	1.19	8.3	5.3	1	NA	0.1530465	2.7284735	NA	NA	NA	NA	NA	NA	NA
B0027_S27	8316	7718	92.81	7259	6497	78.13	6224	74.84	7/9/19	2019	Water	Pre	14:00:00	14:00:00	PM	NA	2.5	NA	0	10	3	NA	NA	NA	NA	NA	30	1603	20.2	99	1.02	10.2	9	1	NA	0.1530465	2.7284735	NA	NA	NA	NA	NA	NA	NA
B0028_S28	14558	13472	92.54	12718	8690	59.69	7388	50.75	7/9/19	2019	Water	Pre	14:00:00	14:00:00	PM	NA	2.5	NA	0	10	4	P_0022	0.4935	0.077535	0.4185	3.277725	127	1615	18.9	38	0.93	10.8	4	2	NA	0.1530465	2.7284735	NA	NA	NA	NA	NA	NA	NA
B0029_S29	12472	11656	93.46	10959	7893	63.29	6915	55.44	7/9/19	2019	Water	Pre	17:00:00	17:00:00	PM	NA	2.9	NA	yes	100	1	P_0023	0.4295	0.20515	0.4935	1.30509	130	1504	22.5	47	0.91	13.1	4.1	2.5	NA	0.189035	2.105981	NA	NA	NA	NA	NA	NA	NA
B0030_S30	13776	12727	92.39	12069	9009	65.4	8071	58.59	7/9/19	2019	Water	Pre	17:00:00	17:00:00	PM	NA	2.9	NA	yes	100	2	NA	NA	NA	NA	NA	55	1513	22	110	1.08	6.3	7.2	2.5	NA	0.189035	2.105981	NA	NA	NA	NA	NA	NA	NA
B0031_S31	15681	14607	93.15	13841	10466	66.74	9225	58.83	7/9/19	2019	Water	Pre	17:00:00	17:00:00	PM	NA	2.9	NA	yes	100	3	NA	NA	NA	NA	NA	34	1505	22.1	100	1.12	13.6	6.8	2	NA	0.189035	2.105981	NA	NA	NA	NA	NA	NA	NA
B0032_S32	13269	12257	92.37	11975	11320	85.31	10911	82.23	7/9/19	2019	Water	Pre	17:00:00	17:00:00	PM	NA	2.9	NA	yes	100	4	P_0024	0.445	0.17292	0.4295	2.906872	155	1594	21.5	90	1.23	9.2	3.1	1.5	NA	0.189035	2.105981	NA	NA	NA	NA	NA	NA	NA
B0033_S33	13334	12125	90.93	11203	8544	64.08	7851	58.88	7/10/19	2019	Water	Pre	8:00:00	8:00:00	AM	NA	1	W	0	100	1	P_0025	0.5035	0.058855	0.445	2.438223	350	1584	16.7	12	1.37	35	3.9	1	NA	0.0501315	1.7804515	NA	NA	NA	NA	NA	NA	NA
B0034_S34	11685	10730	91.83	10263	8810	75.4	8185	70.05	7/10/19	2019	Water	Pre	8:00:00	8:00:00	AM	NA	1	W	0	100	2	NA	NA	NA	NA	NA	110	1664	17.2	42	1.11	34.2	4.3	1.5	NA	0.0501315	1.7804515	NA	NA	NA	NA	NA	NA	NA
B0035_S35	6359	5853	92.04	5575	5008	78.75	4786	75.26	7/10/19	2019	Water	Pre	8:00:00	8:00:00	AM	NA	1	W	0	100	3	NA	NA	NA	NA	NA	200	1613	16.6	NA	1.01	24.8	4.7	1.5	NA	0.0501315	1.7804515	NA	NA	NA	NA	NA	NA	NA
B0036_S36	16627	15765	94.82	14788	10226	61.5	9120	54.85	7/10/19	2019	Water	Pre	8:00:00	8:00:00	AM	NA	1	W	0	100	4	P_0026	0.513	0.041408	0.5035	1.12268	165	1583	14.6	20	1.26	25.4	4.5	1.5	NA	0.0501315	1.7804515	NA	NA	NA	NA	NA	NA	NA
B0037_S37	11851	11243	94.87	10286	8204	69.23	7670	64.72	7/10/19	2019	Water	Pre	11:00:00	11:00:00	AM	NA	2	W	0	5	1	P_0027	0.5885	-0.08741	0.513	0.962779	300	1629	17.5	0	1.39	41.2	6.2	1	NA	-0.039137	0.5080445	NA	NA	NA	NA	NA	NA	NA
