,Shannon,Sobs,input,filtered,percentage of input passed filter,denoised,merged,percentage of input merged,non-chimeric,percentage of input non-chimeric,Date,Year,SampleType,Dosing,Time,InfluentFlowgalpermin,WindSpeedmps,WindDirection,H2OUse,PercentCloudCover,Port,PSampleID,ImidAbsorbance,ImidConcentration,PyreAbsorbance,PyreConcentration,FilterVolmL,ConductivitymgL,TempC,Turbidityppm,Phosppm,Nitratesppm,DisO2ppm,Salinity,pH,avgImidppm,avgPyreppm,ImidConcentrationppm,PyreConcentrationppm,TurbidityppmSONDE,NitratesppmSONDE,DisO2ppmSONDE,SalinitySONDE,pHSONDE
B0001_S1,5.214604889343721,301.0,16068,14714,91.57,14018,12455,77.51,11781,73.32,7/8/19,2019,Water,Pre,8:15:00,,,,0,100.0,1,P_0001,0.406,0.255711,0.2495,16.23016,75.0,1460,14.0,84.0,2.47,31.8,8.9,2.0,,0.255711,16.23016,,,,,,,
B0002_S2,4.574384116483933,182.0,4596,4054,88.21,3807,3392,73.8,3256,70.84,7/8/19,2019,Water,Pre,8:25:00,,,,0,100.0,2,,,,,,45.0,1525,14.5,101.0,2.13,44.6,12.0,2.0,,,,,,,,,,
B0003_S3,5.147470866903149,293.0,20800,19875,95.55,18796,13760,66.15,11392,54.77,7/8/19,2019,Water,Pre,8:46:00,,,,0,100.0,3,,,,,,50.0,1281,15.2,68.0,1.68,30.6,13.3,2.0,,,,,,,,,,
B0004_S4,5.01681699234255,254.0,14339,13409,93.51,12580,8816,61.48,7725,53.87,7/8/19,2019,Water,Pre,8:57:00,,,,0,100.0,4,P_0004,0.491,0.082257,0.406,3.74206,180.0,2660,14.7,35.0,1.4,23.8,5.5,2.0,,0.082257,3.74206,,,,,,,
B0005_S5,5.298518675907687,317.0,17097,16305,95.37,15244,11064,64.71,9499,55.56,7/8/19,2019,Water,Pre,11:25:00,,3.0,,north,100.0,1,P_0005,0.4745,0.113942,0.491,1.353091,70.0,1540,16.5,82.0,1.69,28.4,5.9,2.0,,0.042921,1.5245275,,,,,,,
B0006_S6,5.063049525807074,278.0,15068,14011,92.99,13243,10196,67.67,9167,60.84,7/8/19,2019,Water,Pre,11:25:00,,3.0,,north,100.0,2,,,,,,12.0,1584,18.0,280.0,1.75,46.2,6.7,2.0,,0.042921,1.5245275,,,,,,,
B0007_S7,5.182439745623326,310.0,20591,19546,94.92,18393,13373,64.95,11317,54.96,7/8/19,2019,Water,Pre,11:25:00,,3.0,,north,100.0,3,,,,,,38.0,1390,19.0,138.0,2.58,34.4,7.1,2.0,,0.042921,1.5245275,,,,,,,
B0008_S8,4.983544719806832,278.0,15894,14875,93.59,14007,10250,64.49,8730,54.93,7/8/19,2019,Water,Pre,11:25:00,,3.0,,north,100.0,4,P_0008,0.5525,-0.0281,0.4745,1.695964,67.0,1327,18.0,54.0,1.49,33.4,5.9,2.0,,0.042921,1.5245275,,,,,,,
B0009_S9,5.1133654016544146,290.0,21271,19230,90.4,18142,12614,59.3,10527,49.49,7/8/19,2019,Water,Pre,14:40:00,,4.5,,0,40.0,1,P_0009,0.447,0.168825,0.5525,0.417255,150.0,1594,18.0,,,,9.8,1.0,,0.1408965,1.3996265,,,,,,,
B0010_S10,4.6776844285369705,231.0,14724,12930,87.82,12266,9251,62.83,7821,53.12,7/8/19,2019,Water,Pre,14:40:00,,4.5,,0,40.0,2,,,,,,,1690,18.0,,,,7.6,2.0,,0.1408965,1.3996265,,,,,,,
B0011_S11,5.207144321518252,314.0,23546,22361,94.97,20901,14391,61.12,12016,51.03,7/8/19,2019,Water,Pre,14:40:00,,4.5,,0,40.0,3,,,,,,,1581,19.0,,,,6.6,2.0,,0.1408965,1.3996265,,,,,,,
B0012_S12,5.014870581561716,236.0,12665,11907,94.02,11064,7090,55.98,6189,48.87,7/8/19,2019,Water,Pre,14:40:00,,4.5,,0,40.0,4,P_0012,0.475,0.112968,0.447,2.381998,,1453,19.0,,,,6.3,2.0,,0.1408965,1.3996265,,,,,,,
B0013_S13,5.263507058341329,307.0,19678,18707,95.07,17484,12154,61.76,10132,51.49,7/8/19,2019,Water,Pre,17:40:00,,5.5,,0,20.0,1,P_0013,0.447,0.168825,0.475,1.684874,75.0,1753,19.0,,,,5.9,2.0,,0.12083,2.033436,,,,,,,
B0014_S14,4.705914226775182,231.0,16884,15679,92.86,14797,11072,65.58,9059,53.65,7/8/19,2019,Water,Pre,17:40:00,,5.5,,0,20.0,2,,,,,,20.0,1652,19.0,,,,8.5,2.0,,0.12083,2.033436,,,,,,,
B0015_S15,4.697846411382168,254.0,23267,22084,94.92,21069,15811,67.95,12587,54.1,7/8/19,2019,Water,Pre,17:40:00,,5.5,,0,20.0,3,,,,,,65.0,1674,19.0,,,,9.7,2.0,,0.12083,2.033436,,,,,,,
B0016_S16,5.154592012688145,301.0,21335,20140,94.4,18997,13080,61.31,11402,53.44,7/8/19,2019,Water,Pre,17:40:00,,5.5,,0,20.0,4,P_0016,0.496,0.072835,0.447,2.381998,50.0,1686,19.0,,,,5.1,2.0,,0.12083,2.033436,,,,,,,
B0017_S17,4.5881248786829065,224.0,15493,14239,91.91,13651,11048,71.31,9062,58.49,7/9/19,2019,Water,Pre,8:00:00,,2.0,,yes,0.0,1,P_0017,0.3935,0.283464,0.496,1.258068,185.0,1630,17.0,39.0,1.07,14.6,5.2,1.5,,0.2385385,2.7574325,,,,,,,
B0018_S18,5.003844416992467,237.0,8609,7815,90.78,7278,6598,76.64,6365,73.93,7/9/19,2019,Water,Pre,8:00:00,,2.0,,yes,0.0,2,,,,,,35.0,1574,17.0,,,,9.2,2.0,,0.2385385,2.7574325,,,,,,,
B0019_S19,5.061826673158356,279.0,18268,17173,94.01,16099,11335,62.05,9422,51.58,7/9/19,2019,Water,Pre,8:00:00,,2.0,,yes,0.0,3,,,,,,30.0,1596,18.0,,,,10.0,1.5,,0.2385385,2.7574325,,,,,,,
B0020_S20,4.880664440348002,254.0,11494,10878,94.64,10127,6977,60.7,5938,51.66,7/9/19,2019,Water,Pre,8:00:00,,2.0,,yes,0.0,4,P_0018,0.435,0.193613,0.3935,4.256797,90.0,1567,17.0,142.0,0.95,11.2,4.0,2.0,,0.2385385,2.7574325,,,,,,,
B0021_S21,4.7936891290159105,244.0,19665,18537,94.26,17653,13974,71.06,10749,54.66,7/9/19,2019,Water,Pre,11:00:00,,2.0,,0,5.0,1,P_0019,0.4745,0.113942,0.435,2.733682,162.0,1465,23.3,48.0,1.09,7.0,7.2,1.5,,0.133768,2.214823,,,,,,,
B0022_S22,5.013898723187534,282.0,17355,16436,94.7,15432,10805,62.26,8829,50.87,7/9/19,2019,Water,Pre,11:00:00,,2.0,,0,5.0,2,,,,,,20.0,1448,22.8,,,,7.5,1.0,,0.133768,2.214823,,,,,,,
B0023_S23,5.135348904643056,293.0,17232,16220,94.13,15076,10066,58.41,8512,49.4,7/9/19,2019,Water,Pre,11:00:00,,2.0,,0,5.0,3,,,,,,18.0,1528,22.5,,,,10.4,2.0,,0.133768,2.214823,,,,,,,
B0024_S24,5.091435253254026,302.0,18867,17861,94.67,16813,12135,64.32,10335,54.78,7/9/19,2019,Water,Pre,11:00:00,,2.0,,0,5.0,4,P_0020,0.4545,0.153594,0.4745,1.695964,22.0,1630,21.4,60.0,0.95,8.9,5.2,2.0,,0.133768,2.214823,,,,,,,
